Date,Currency,RateToUSD
3/21/2024,JPY,0.007
3/22/2024,USD,1
3/22/2024,EUR,1.1
3/22/2024,GBP,1.3
3/22/2024,JPY,0.007
3/23/2024,USD,1
3/23/2024,EUR,1.1
3/23/2024,GBP,1.3
3/23/2024,JPY,0.007
3/24/2024,USD,1
3/24/2024,EUR,1.1
3/24/2024,GBP,1.3
3/24/2024,JPY,0.007
3/25/2024,USD,1
3/25/2024,EUR,1.1
3/25/2024,GBP,1.3
3/25/2024,JPY,0.007
3/26/2024,USD,1
3/26/2024,EUR,1.1
3/26/2024,GBP,1.3
3/26/2024,JPY,0.007
3/27/2024,USD,1
3/27/2024,EUR,1.1
3/27/2024,GBP,1.3
3/27/2024,JPY,0.007
3/28/2024,USD,1
3/28/2024,EUR,1.1
3/28/2024,GBP,1.3
3/28/2024,JPY,0.007
3/29/2024,USD,1
3/29/2024,EUR,1.1
3/29/2024,GBP,1.3
3/29/2024,JPY,0.007
3/30/2024,USD,1
3/30/2024,EUR,1.1
3/30/2024,GBP,1.3
3/30/2024,JPY,0.007
3/31/2024,USD,1
3/31/2024,EUR,1.1
3/31/2024,GBP,1.3
3/31/2024,JPY,0.007
